,GICS_sector,GICS_sub_industry,company,ticker
0,Utilities,Independent Power Producers & Energy Traders,AES Corp,AES
1,Utilities,Electric Utilities,Alliant Energy Corp,LNT
2,Utilities,Multi-Utilities,Ameren Corp,AEE
3,Utilities,Electric Utilities,American Electric Power,AEP
4,Utilities,Water Utilities,American Water Works Company Inc,AWK
5,Utilities,Multi-Utilities,CenterPoint Energy,CNP
6,Utilities,Multi-Utilities,CMS Energy,CMS
7,Utilities,Electric Utilities,Consolidated Edison,ED
8,Utilities,Electric Utilities,Dominion Energy,D
9,Utilities,Multi-Utilities,DTE Energy Co.,DTE
10,Utilities,Electric Utilities,Duke Energy,DUK
11,Utilities,Electric Utilities,Edison Int'l,EIX
12,Utilities,Electric Utilities,Entergy Corp.,ETR
13,Utilities,Multi-Utilities,Eversource Energy,ES
14,Utilities,Multi-Utilities,Exelon Corp.,EXC
15,Utilities,Electric Utilities,FirstEnergy Corp,FE
16,Utilities,Multi-Utilities,NextEra Energy,NEE
17,Utilities,Multi-Utilities,NiSource Inc.,NI
18,Utilities,Independent Power Producers & Energy Traders,NRG Energy,NRG
19,Utilities,Multi-Utilities,PG&E Corp.,PCG
20,Utilities,Multi-Utilities,Pinnacle West Capital,PNW
21,Utilities,Electric Utilities,PPL Corp.,PPL
22,Utilities,Electric Utilities,Public Serv. Enterprise Inc.,PEG
23,Utilities,Multi-Utilities,SCANA Corp,SCG
24,Utilities,Multi-Utilities,Sempra Energy,SRE
25,Utilities,Electric Utilities,Southern Co.,SO
26,Utilities,Electric Utilities,Wec Energy Group Inc,WEC
27,Utilities,Multi-Utilities,Xcel Energy Inc,XEL
28,Telecommunication Services,Integrated Telecommunication Services,AT&T Inc.,T
29,Telecommunication Services,Integrated Telecommunication Services,CenturyLink Inc,CTL
30,Telecommunication Services,Integrated Telecommunication Services,Verizon Communications,VZ
31,Real Estate,Office REITs,Alexandria Real Estate Equities Inc,ARE
32,Real Estate,Specialized REITs,American Tower Corp A,AMT
33,Real Estate,Residential REITs,Apartment Investment & Management,AIV
34,Real Estate,Residential REITs,"AvalonBay Communities, Inc.",AVB
35,Real Estate,Office REITs,Boston Properties,BXP
37,Real Estate,Specialized REITs,Crown Castle International Corp.,CCI
38,Real Estate,Specialized REITs,Digital Realty Trust Inc,DLR
39,Real Estate,Industrial REITs,Duke Realty Corp,DRE
40,Real Estate,Specialized REITs,Equinix,EQIX
41,Real Estate,Residential REITs,Equity Residential,EQR
42,Real Estate,Residential REITs,"Essex Property Trust, Inc.",ESS
43,Real Estate,Specialized REITs,Extra Space Storage,EXR
44,Real Estate,Retail REITs,Federal Realty Investment Trust,FRT
45,Real Estate,Retail REITs,General Growth Properties Inc.,GGP
46,Real Estate,Health Care REITs,HCP Inc.,HCP
47,Real Estate,Hotel & Resort REITs,Host Hotels & Resorts,HST
48,Real Estate,Specialized REITs,Iron Mountain Incorporated,IRM
49,Real Estate,Retail REITs,Kimco Realty,KIM
50,Real Estate,Retail REITs,Macerich,MAC
51,Real Estate,Residential REITs,Mid-America Apartments,MAA
52,Real Estate,Industrial REITs,Prologis,PLD
53,Real Estate,Specialized REITs,Public Storage,PSA
54,Real Estate,Retail REITs,Realty Income Corporation,O
55,Real Estate,Retail REITs,Regency Centers Corporation,REG
56,Real Estate,Specialized REITs,SBA Communications,SBAC
57,Real Estate,Retail REITs,Simon Property Group Inc,SPG
58,Real Estate,Office REITs,SL Green Realty,SLG
59,Real Estate,Residential REITs,UDR Inc,UDR
60,Real Estate,Health Care REITs,Ventas Inc,VTR
61,Real Estate,Office REITs,Vornado Realty Trust,VNO
63,Real Estate,Specialized REITs,Weyerhaeuser Corp.,WY
64,Materials,Industrial Gases,Air Products & Chemicals Inc,APD
65,Materials,Specialty Chemicals,Albemarle Corp,ALB
66,Materials,Paper Packaging,Avery Dennison Corp,AVY
67,Materials,Metal & Glass Containers,Ball Corp,BLL
68,Materials,Fertilizers & Agricultural Chemicals,CF Industries Holdings Inc,CF
69,Materials,Diversified Chemicals,DowDuPont,DWDP
70,Materials,Diversified Chemicals,Eastman Chemical,EMN
71,Materials,Specialty Chemicals,Ecolab Inc.,ECL
72,Materials,Fertilizers & Agricultural Chemicals,FMC Corporation,FMC
73,Materials,Copper,Freeport-McMoRan Inc.,FCX
74,Materials,Paper Packaging,International Paper,IP
75,Materials,Specialty Chemicals,Intl Flavors & Fragrances,IFF
76,Materials,Specialty Chemicals,LyondellBasell,LYB
77,Materials,Construction Materials,Martin Marietta Materials,MLM
78,Materials,Fertilizers & Agricultural Chemicals,Monsanto Co.,MON
79,Materials,Fertilizers & Agricultural Chemicals,The Mosaic Company,MOS
80,Materials,Gold,Newmont Mining Corporation,NEM
81,Materials,Steel,Nucor Corp.,NUE
82,Materials,Paper Packaging,Packaging Corporation of America,PKG
83,Materials,Specialty Chemicals,PPG Industries,PPG
84,Materials,Industrial Gases,Praxair Inc.,PX
85,Materials,Paper Packaging,Sealed Air,SEE
86,Materials,Specialty Chemicals,Sherwin-Williams,SHW
87,Materials,Construction Materials,Vulcan Materials,VMC
88,Materials,Paper Packaging,WestRock Company,WRK
89,Information Technology,IT Consulting & Other Services,Accenture plc,ACN
90,Information Technology,Home Entertainment Software,Activision Blizzard,ATVI
91,Information Technology,Application Software,Adobe Systems Inc,ADBE
92,Information Technology,Semiconductors,Advanced Micro Devices Inc,AMD
93,Information Technology,Internet Software & Services,Akamai Technologies Inc,AKAM
94,Information Technology,Data Processing & Outsourced Services,Alliance Data Systems,ADS
95,Information Technology,Internet Software & Services,Alphabet Inc Class A,GOOGL
96,Information Technology,Internet Software & Services,Alphabet Inc Class C,GOOG
97,Information Technology,Electronic Components,Amphenol Corp,APH
98,Information Technology,Semiconductors,"Analog Devices, Inc.",ADI
99,Information Technology,Application Software,ANSYS,ANSS
100,Information Technology,"Technology Hardware, Storage & Peripherals",Apple Inc.,AAPL
101,Information Technology,Semiconductor Equipment,Applied Materials Inc.,AMAT
102,Information Technology,Application Software,Autodesk Inc.,ADSK
103,Information Technology,Internet Software & Services,Automatic Data Processing,ADP
104,Information Technology,Semiconductors,Broadcom,AVGO
105,Information Technology,Systems Software,"CA, Inc.",CA
106,Information Technology,Application Software,Cadence Design Systems,CDNS
107,Information Technology,Communications Equipment,Cisco Systems,CSCO
108,Information Technology,Internet Software & Services,Citrix Systems,CTXS
109,Information Technology,IT Consulting & Other Services,Cognizant Technology Solutions,CTSH
110,Information Technology,Electronic Components,Corning Inc.,GLW
111,Information Technology,IT Consulting & Other Services,DXC Technology,DXC
112,Information Technology,Internet Software & Services,eBay Inc.,EBAY
113,Information Technology,Home Entertainment Software,Electronic Arts,EA
114,Information Technology,Communications Equipment,F5 Networks,FFIV
115,Information Technology,Internet Software & Services,"Facebook, Inc.",FB
116,Information Technology,Internet Software & Services,Fidelity National Information Services,FIS
117,Information Technology,Internet Software & Services,Fiserv Inc,FISV
118,Information Technology,Electronic Equipment & Instruments,FLIR Systems,FLIR
119,Information Technology,IT Consulting & Other Services,Gartner Inc,IT
120,Information Technology,Data Processing & Outsourced Services,Global Payments Inc.,GPN
121,Information Technology,Communications Equipment,Harris Corporation,HRS
122,Information Technology,"Technology Hardware, Storage & Peripherals",Hewlett Packard Enterprise,HPE
123,Information Technology,"Technology Hardware, Storage & Peripherals",HP Inc.,HPQ
124,Information Technology,Semiconductors,Intel Corp.,INTC
125,Information Technology,IT Consulting & Other Services,International Business Machines,IBM
126,Information Technology,Internet Software & Services,Intuit Inc.,INTU
128,Information Technology,Communications Equipment,Juniper Networks,JNPR
129,Information Technology,Semiconductor Equipment,KLA-Tencor Corp.,KLAC
130,Information Technology,Semiconductor Equipment,Lam Research,LRCX
131,Information Technology,Internet Software & Services,Mastercard Inc.,MA
132,Information Technology,Semiconductors,Microchip Technology,MCHP
133,Information Technology,Semiconductors,Micron Technology,MU
134,Information Technology,Systems Software,Microsoft Corp.,MSFT
135,Information Technology,Communications Equipment,Motorola Solutions Inc.,MSI
136,Information Technology,Internet Software & Services,NetApp,NTAP
137,Information Technology,Internet Software & Services,Netflix Inc.,NFLX
138,Information Technology,Semiconductors,Nvidia Corporation,NVDA
139,Information Technology,Application Software,Oracle Corp.,ORCL
140,Information Technology,Internet Software & Services,Paychex Inc.,PAYX
141,Information Technology,Data Processing & Outsourced Services,PayPal,PYPL
142,Information Technology,Semiconductors,Qorvo,QRVO
143,Information Technology,Semiconductors,QUALCOMM Inc.,QCOM
144,Information Technology,Systems Software,Red Hat Inc.,RHT
145,Information Technology,Internet Software & Services,Salesforce.com,CRM
146,Information Technology,"Technology Hardware, Storage & Peripherals",Seagate Technology,STX
147,Information Technology,Semiconductors,Skyworks Solutions,SWKS
148,Information Technology,Application Software,Symantec Corp.,SYMC
149,Information Technology,Application Software,Synopsys Inc.,SNPS
151,Information Technology,Electronic Manufacturing Services,TE Connectivity Ltd.,TEL
152,Information Technology,Semiconductors,Texas Instruments,TXN
153,Information Technology,Internet Software & Services,Total System Services,TSS
154,Information Technology,Internet Software & Services,Verisign Inc.,VRSN
155,Information Technology,Internet Software & Services,Visa Inc.,V
156,Information Technology,"Technology Hardware, Storage & Peripherals",Western Digital,WDC
157,Information Technology,Internet Software & Services,Western Union Co,WU
158,Information Technology,"Technology Hardware, Storage & Peripherals",Xerox Corp.,XRX
159,Information Technology,Semiconductors,Xilinx Inc,XLNX
160,Industrials,Industrial Conglomerates,3M Company,MMM
161,Industrials,Electrical Components & Equipment,Acuity Brands Inc,AYI
162,Industrials,Airlines,Alaska Air Group Inc,ALK
163,Industrials,Building Products,Allegion,ALLE
164,Industrials,Airlines,American Airlines Group,AAL
165,Industrials,Electrical Components & Equipment,AMETEK Inc.,AME
166,Industrials,Building Products,A.O. Smith Corp,AOS
167,Industrials,Aerospace & Defense,Arconic Inc.,ARNC
168,Industrials,Aerospace & Defense,Boeing Company,BA
169,Industrials,Air Freight & Logistics,C. H. Robinson Worldwide,CHRW
170,Industrials,Construction Machinery & Heavy Trucks,Caterpillar Inc.,CAT
171,Industrials,Diversified Support Services,Cintas Corporation,CTAS
172,Industrials,Railroads,CSX Corp.,CSX
173,Industrials,Industrial Machinery,Cummins Inc.,CMI
174,Industrials,Agricultural & Farm Machinery,Deere & Co.,DE
175,Industrials,Airlines,Delta Air Lines Inc.,DAL
176,Industrials,Industrial Machinery,Dover Corp.,DOV
177,Industrials,Electrical Components & Equipment,Eaton Corporation,ETN
178,Industrials,Electrical Components & Equipment,Emerson Electric Company,EMR
179,Industrials,Research & Consulting Services,Equifax Inc.,EFX
180,Industrials,Air Freight & Logistics,Expeditors International,EXPD
181,Industrials,Building Products,Fastenal Co,FAST
182,Industrials,Air Freight & Logistics,FedEx Corporation,FDX
183,Industrials,Industrial Machinery,Flowserve Corporation,FLS
184,Industrials,Construction & Engineering,Fluor Corp.,FLR
185,Industrials,Industrial Machinery,Fortive Corp,FTV
186,Industrials,Building Products,Fortune Brands Home & Security,FBHS
187,Industrials,Aerospace & Defense,General Dynamics,GD
188,Industrials,Industrial Conglomerates,General Electric,GE
189,Industrials,Industrial Machinery,Grainger (W.W.) Inc.,GWW
190,Industrials,Industrial Conglomerates,Honeywell Int'l Inc.,HON
191,Industrials,Aerospace & Defense,Huntington Ingalls Industries,HII
192,Industrials,Research & Consulting Services,IHS Markit Ltd.,INFO
193,Industrials,Industrial Machinery,Illinois Tool Works,ITW
194,Industrials,Industrial Machinery,Ingersoll-Rand PLC,IR
195,Industrials,Construction & Engineering,Jacobs Engineering Group,JEC
196,Industrials,Trucking,J. B. Hunt Transport Services,JBHT
197,Industrials,Building Products,Johnson Controls International,JCI
198,Industrials,Railroads,Kansas City Southern,KSU
199,Industrials,Aerospace & Defense,L-3 Communications Holdings,LLL
200,Industrials,Aerospace & Defense,Lockheed Martin Corp.,LMT
201,Industrials,Building Products,Masco Corp.,MAS
202,Industrials,Research & Consulting Services,Nielsen Holdings,NLSN
203,Industrials,Railroads,Norfolk Southern Corp.,NSC
204,Industrials,Aerospace & Defense,Northrop Grumman Corp.,NOC
205,Industrials,Construction Machinery & Heavy Trucks,PACCAR Inc.,PCAR
206,Industrials,Industrial Machinery,Parker-Hannifin,PH
207,Industrials,Industrial Machinery,Pentair plc,PNR
208,Industrials,Construction & Engineering,Quanta Services Inc.,PWR
209,Industrials,Aerospace & Defense,Raytheon Co.,RTN
210,Industrials,Environmental & Facilities Services,Republic Services Inc,RSG
211,Industrials,Human Resource & Employment Services,Robert Half International,RHI
212,Industrials,Electrical Components & Equipment,Rockwell Automation Inc.,ROK
213,Industrials,Aerospace & Defense,Rockwell Collins,COL
214,Industrials,Industrial Conglomerates,Roper Technologies,ROP
215,Industrials,Airlines,Southwest Airlines,LUV
216,Industrials,Environmental & Facilities Services,Stericycle Inc,SRCL
217,Industrials,Aerospace & Defense,Textron Inc.,TXT
218,Industrials,Aerospace & Defense,TransDigm Group,TDG
219,Industrials,Railroads,Union Pacific,UNP
220,Industrials,Airlines,United Continental Holdings,UAL
221,Industrials,Air Freight & Logistics,United Parcel Service,UPS
222,Industrials,Trading Companies & Distributors,"United Rentals, Inc.",URI
223,Industrials,Aerospace & Defense,United Technologies,UTX
224,Industrials,Research & Consulting Services,Verisk Analytics,VRSK
225,Industrials,Environmental & Facilities Services,Waste Management Inc.,WM
226,Industrials,Industrial Machinery,Xylem Inc.,XYL
227,Health Care,Health Care Equipment,Abbott Laboratories,ABT
228,Health Care,Pharmaceuticals,AbbVie Inc.,ABBV
229,Health Care,Managed Health Care,Aetna Inc,AET
230,Health Care,Health Care Equipment,Agilent Technologies Inc,A
231,Health Care,Biotechnology,Alexion Pharmaceuticals,ALXN
232,Health Care,Health Care Supplies,Align Technology,ALGN
233,Health Care,Pharmaceuticals,"Allergan, Plc",AGN
234,Health Care,Health Care Distributors,AmerisourceBergen Corp,ABC
235,Health Care,Biotechnology,Amgen Inc.,AMGN
236,Health Care,Managed Health Care,Anthem Inc.,ANTM
237,Health Care,Health Care Equipment,Baxter International Inc.,BAX
238,Health Care,Health Care Equipment,Becton Dickinson,BDX
239,Health Care,Biotechnology,Biogen Inc.,BIIB
240,Health Care,Health Care Equipment,Boston Scientific,BSX
241,Health Care,Health Care Distributors,Bristol-Myers Squibb,BMY
242,Health Care,Health Care Distributors,Cardinal Health Inc.,CAH
243,Health Care,Biotechnology,Celgene Corp.,CELG
244,Health Care,Managed Health Care,Centene Corporation,CNC
245,Health Care,Health Care Technology,Cerner,CERN
246,Health Care,Managed Health Care,CIGNA Corp.,CI
247,Health Care,Health Care Supplies,The Cooper Companies,COO
248,Health Care,Health Care Equipment,Danaher Corp.,DHR
249,Health Care,Health Care Facilities,DaVita Inc.,DVA
250,Health Care,Health Care Supplies,Dentsply Sirona,XRAY
251,Health Care,Health Care Equipment,Edwards Lifesciences,EW
252,Health Care,Health Care Services,Envision Healthcare,EVHC
